product_name,category,description,dosage,benefits,application_method,suitable_crops,suitable_diseases,price,unit
V-NITRO,Bio Fertilizer,Nitrogen fixing biofertilizer containing Azotobacter and Azospirillum species.,2.5 ml/L water,Fixes atmospheric nitrogen and increases crop yield by 15-20%.,Foliar spray or Soil drenching,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,350,500ml
V-PHOS,Bio Fertilizer,Phosphate solubilizing bacteria containing Bacillus megaterium.,2 ml/L water,Solubilizes insoluble phosphorus in the soil and makes it available to the plants.,Basal application or Fertigation,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,380,500ml
V-SOL-K,Bio Fertilizer,Potash mobilizing bacteria containing Frateuria aurantia.,2 ml/L water,Mobilizes potassium and improves fruit quality and grain weight.,Soil application or Fertigation,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,420,500ml
V-ZINC,Bio Fertilizer,Zinc solubilizing biofertilizer containing Pseudomonas sp.,2.5 ml/L water,Solubilizes zinc and prevents little leaf and zinc deficiency symptoms.,Foliar spray or soil application,"Rice;Banana;Sugarcane;Turmeric;Pepper;Cardamom;Mango",None,360,500ml
V-RIZHO,Bio Fertilizer,Symbiotic nitrogen fixer containing Rhizobium species.,3 ml/L water,Nodule formation and nitrogen fixation in legumes.,Seed treatment or soil application,"Groundnut;Soybean;Cowpea",None,320,500ml
V-RICH,Bio Fertilizer,Mycorrhizal biofertilizer (VAM) containing Glomus intraradices.,10 kg/acre,Enhances root development and water/nutrient absorption from soil.,Basal soil application,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,450,10kg
BIO-NPK,Bio Fertilizer,Consortium of N fixing P solubilizing and K mobilizing bacteria.,3 ml/L water,Complete nutrient replenishment and boosts overall plant growth.,Basal application or foliar spray,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,480,1L
V-METHYLO,Bio Fertilizer,Pink Pigmented Facultative Methylotrophic (PPFM) bacteria.,2 ml/L water,Improves drought tolerance and crop yield through cytokinin production.,Foliar spray during moisture stress,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,400,500ml
VIRIDINE,Bio Fungicide,Antagonistic bio-fungicide containing Trichoderma viride.,2.5 ml/L water,Controls soil-borne fungal pathogens such as Root Rot Collar Rot Wilt and Damping Off.,Soil application or Seed treatment,"Rice;Banana;Sugarcane;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Tapioca",Root Rot;Wilt;Damping Off,480,500ml
V-CURE,Bio Fungicide,Bacterial bio-fungicide containing Pseudomonas fluorescens.,2.5 ml/L water,Controls foliar diseases such as Blast Leaf Spot Sheath Blight and Powdery Mildew.,Foliar spray or seed treatment,"Rice;Banana;Sugarcane;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Tapioca;Tomato;Chilli",Blast;Leaf Spot;Sheath Blight;Powdery Mildew,460,500ml
